name,weight
SANTIAGO,2101
ISHAQ,2096
VIRGIL,2094
FATIH,2087
IAN,2085
IBAN,2083
SAMBA,2083
WISSAM,2083
MURAT,2082
MOHAMMAD,2078
YAËL,2073
SALVADOR,2069
HASAN,2066
JACQUY,2060
LAMBERT,2060
ARIEL,2056
LOUIS-MARIE,2055
CLARENCE,2054
ILLAN,2052
VALERIAN,2052
YOUNÈS,2048
AYDAN,2043
NATAN,2038
OTHMAN,2036
TAHAR,2031
JESUS,2030
TOUFIK,2028
CYRIAQUE,2026
FRANCKY,2022
MARIAN,2022
LÉO-PAUL,2020
YASSIR,2020
TOMAS,2016
KYLE,2013
LASSANA,2012
ANOUAR,2008
JOLAN,2007
NATHAEL,2002
GURVAN,1999
TYRON,1998
YOUENN,1996
IMRÂN,1991
VIVIAN,1989
LYLIAN,1968
NATHANIEL,1967
NOURDINE,1958
RAMZI,1956
ABDERRAHMANE,1950
HASSEN,1948
TOMY,1947
SALEM,1945
SYLVIO,1945
JADEN,1937
VICTORIN,1936
GONZAGUE,1935
NÉO,1933
TIDIANE,1929
VALENTINO,1926
ALVIN,1923
AUDRIC,1922
FAROUK,1919
JONAH,1915
AYMERICK,1912
ILANN,1912
NAWFEL,1912
BERTIN,1910
JANICK,1907
FARÈS,1906
ELI,1901
DIMITRY,1900
MALICK,1900
NANS,1899
NATHAËL,1899
MILOUD,1898
MUHAMMAD,1898
CHARLES-HENRI,1889
CARLO,1887
LEON,1886
SULLYVAN,1884
YVANN,1881
SAMSON,1879
ISHAK,1876
EYMEN,1870
ALEXI,1869
ILYESS,1869
KELVIN,1866
ALEC,1862
OUALID,1860
OSMAN,1859
RANDY,1859
ETHANN,1854
ISAÏAH,1854
KAYS,1851
PHARELL,1851
ENGUERRAND,1847
NEO,1847
BILLAL,1842
CEDRICK,1842
FRANCE,1839
BELKACEM,1835
IRÈNE,1831
STEVENS,1831
EMERICK,1826
MARVYN,1826
NOHLAN,1826
ESTÉBAN,1825
PIERRE-FRANÇOIS,1821
SCOTT,1819
ABDOUL,1818
PACOME,1815
JEAN-ROBERT,1813
RUI,1813
MAE,1811
GEORGE,1808
AURÈLE,1805
LEEROY,1805
DJAMAL,1804
DAMIAN,1797
JULIANN,1797
SEKOU,1792
YVONNICK,1791
ANTONI,1787
GLENN,1787
LUKE,1783
BATISTE,1782
JUDE,1780
THYMÉO,1780
ALOISE,1776
ÉLIE,1774
LORYS,1772
SEBASTIAN,1766
VIKTOR,1764
JUNIOR,1762
KALVIN,1760
ELISEE,1758
NORMAN,1757
PIERRE-ALAIN,1757
ALBERIC,1753
ADAME,1748
FAOUZI,1741
ABDULLAH,1740
SMAIL,1735
AÏDEN,1729
SEVAN,1726
RALPH,1725
BRENDAN,1720
ANAEL,1718
DARYL,1716
JAN,1713
BAKARY,1712
